Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed
55,05-01-2022 02:00,01-03-2022 06:00,03-01-2022 13:40,Pune,121,IDENTITY THEFT,20,M,None,Violent Crime,4,Yes,01-04-2022 02:00
56,03-01-2022 22:00,01-03-2022 07:00,03-01-2022 15:06,Kanpur,487,CYBERCRIME,13,F,Blunt Object,Other Crime,2,No,
57,05-01-2022 00:00,01-03-2022 08:00,03-01-2022 23:15,Bangalore,378,PUBLIC INTOXICATION,60,X,Other,Other Crime,11,Yes,25-01-2022 00:00
58,03-01-2022 20:00,01-03-2022 09:00,03-01-2022 23:31,Delhi,293,DOMESTIC VIOLENCE,52,M,Blunt Object,Violent Crime,1,Yes,31-03-2022 20:00
59,06-01-2022 00:00,01-03-2022 10:00,03-01-2022 10:44,Hyderabad,308,COUNTERFEITING,12,X,Explosives,Other Crime,1,No,
60,05-01-2022 21:00,01-03-2022 11:00,03-01-2022 22:37,Mumbai,272,KIDNAPPING,69,F,Knife,Other Crime,19,Yes,23-02-2022 21:00
61,03-01-2022 14:00,01-03-2022 12:00,03-01-2022 16:15,Pune,267,SEXUAL ASSAULT,43,X,Other,Violent Crime,14,Yes,25-02-2023 14:00
62,04-01-2022 00:00,01-03-2022 13:00,04-01-2022 08:07,Hyderabad,122,ROBBERY,20,F,Firearm,Violent Crime,18,No,
63,03-01-2022 16:00,01-03-2022 14:00,03-01-2022 21:12,Lucknow,387,DRUG OFFENSE,34,M,Other,Other Crime,2,Yes,16-01-2022 16:00
64,04-01-2022 17:00,01-03-2022 15:00,03-01-2022 20:47,Agra,116,TRAFFIC VIOLATION,12,M,Poison,Traffic Fatality,8,Yes,18-01-2022 17:00
65,04-01-2022 04:00,01-03-2022 16:00,04-01-2022 14:46,Mumbai,360,HOMICIDE,76,M,Blunt Object,Other Crime,5,Yes,09-09-2023 04:00
66,06-01-2022 15:00,01-03-2022 17:00,03-01-2022 22:38,Pune,369,ROBBERY,69,M,Explosives,Violent Crime,9,No,
67,04-01-2022 01:00,01-03-2022 18:00,03-01-2022 21:59,Delhi,158,FRAUD,11,F,Firearm,Other Crime,10,Yes,21-02-2022 01:00
68,05-01-2022 12:00,01-03-2022 19:00,03-01-2022 19:19,Meerut,475,SEXUAL ASSAULT,55,F,Poison,Violent Crime,15,Yes,12-11-2023 12:00
69,04-01-2022 00:00,01-03-2022 20:00,04-01-2022 10:58,Mumbai,524,HOMICIDE,52,X,Firearm,Other Crime,16,No,
70,06-01-2022 16:00,01-03-2022 21:00,04-01-2022 20:09,Visakhapatnam,150,FIREARM OFFENSE,29,F,Blunt Object,Fire Accident,10,No,
71,04-01-2022 10:00,01-03-2022 22:00,04-01-2022 15:54,Chennai,178,IDENTITY THEFT,53,X,Blunt Object,Violent Crime,1,No,
72,06-01-2022 01:00,01-03-2022 23:00,04-01-2022 16:19,Pune,332,SEXUAL ASSAULT,40,F,Blunt Object,Violent Crime,14,No,
73,04-01-2022 20:00,01-04-2022 00:00,04-01-2022 16:02,Delhi,329,SEXUAL ASSAULT,23,X,Other,Violent Crime,16,Yes,19-09-2023 20:00
74,05-01-2022 19:00,01-04-2022 01:00,04-01-2022 13:57,Rajkot,548,ASSAULT,36,M,Explosives,Violent Crime,2,No,
75,05-01-2022 11:00,01-04-2022 02:00,04-01-2022 22:44,Ahmedabad,170,DOMESTIC VIOLENCE,11,X,Explosives,Violent Crime,13,Yes,26-01-2022 11:00
76,04-01-2022 06:00,01-04-2022 03:00,04-01-2022 19:12,Jaipur,370,FRAUD,46,F,Explosives,Other Crime,2,No,
77,06-01-2022 22:00,01-04-2022 04:00,04-01-2022 23:43,Chennai,288,VANDALISM,29,F,Other,Other Crime,17,No,
78,06-01-2022 13:00,01-04-2022 05:00,04-01-2022 22:35,Indore,249,EXTORTION,66,F,Other,Other Crime,15,Yes,22-03-2022 13:00
79,04-01-2022 13:00,01-04-2022 06:00,05-01-2022 05:57,Chennai,543,KIDNAPPING,16,M,Other,Other Crime,8,No,
80,05-01-2022 23:00,01-04-2022 07:00,05-01-2022 03:57,Lucknow,298,VANDALISM,65,M,Poison,Other Crime,8,No,
81,07-01-2022 02:00,01-04-2022 08:00,04-01-2022 16:38,Delhi,435,TRAFFIC VIOLATION,61,X,None,Traffic Fatality,2,No,
82,04-01-2022 22:00,01-04-2022 09:00,05-01-2022 04:10,Lucknow,270,HOMICIDE,27,M,Blunt Object,Other Crime,9,Yes,03-10-2022 22:00
83,04-01-2022 16:00,01-04-2022 10:00,04-01-2022 16:59,Visakhapatnam,233,TRAFFIC VIOLATION,68,F,Blunt Object,Traffic Fatality,18,No,
84,06-01-2022 21:00,01-04-2022 11:00,04-01-2022 17:50,Mumbai,413,DRUG OFFENSE,74,M,Explosives,Other Crime,4,No,
85,07-01-2022 02:00,01-04-2022 12:00,04-01-2022 19:07,Pune,444,ARSON,25,F,Blunt Object,Fire Accident,7,No,
86,05-01-2022 21:00,01-04-2022 13:00,05-01-2022 11:26,Hyderabad,277,TRAFFIC VIOLATION,53,X,Explosives,Traffic Fatality,1,Yes,20-01-2022 21:00
87,05-01-2022 13:00,01-04-2022 14:00,05-01-2022 00:22,Mumbai,495,BURGLARY,58,F,Poison,Other Crime,12,Yes,16-06-2022 13:00
88,04-01-2022 16:00,01-04-2022 15:00,05-01-2022 01:41,Vasai,288,ILLEGAL POSSESSION,18,F,Explosives,Other Crime,19,Yes,08-02-2022 16:00
89,06-01-2022 20:00,01-04-2022 16:00,05-01-2022 13:39,Patna,399,BURGLARY,33,X,None,Other Crime,4,No,
90,06-01-2022 08:00,01-04-2022 17:00,05-01-2022 13:05,Kanpur,325,VANDALISM,78,M,Firearm,Other Crime,13,No,
91,06-01-2022 06:00,01-04-2022 18:00,04-01-2022 22:48,Delhi,175,VEHICLE - STOLEN,46,X,Knife,Violent Crime,14,No,
92,06-01-2022 07:00,01-04-2022 19:00,04-01-2022 20:42,Lucknow,564,SEXUAL ASSAULT,28,F,Poison,Violent Crime,15,No,
93,07-01-2022 12:00,01-04-2022 20:00,05-01-2022 15:55,Chennai,298,VANDALISM,11,F,Explosives,Other Crime,1,Yes,20-01-2022 12:00
94,05-01-2022 14:00,01-04-2022 21:00,05-01-2022 00:12,Delhi,108,SHOPLIFTING,45,F,Firearm,Other Crime,2,Yes,21-03-2022 14:00
95,05-01-2022 03:00,01-04-2022 22:00,05-01-2022 06:06,Thane,591,TRAFFIC VIOLATION,34,X,None,Traffic Fatality,8,Yes,08-01-2022 03:00
96,07-01-2022 14:00,01-04-2022 23:00,05-01-2022 02:02,Ludhiana,574,ILLEGAL POSSESSION,70,F,Blunt Object,Other Crime,17,No,
97,05-01-2022 11:00,01-05-2022 00:00,05-01-2022 00:09,Kolkata,548,DOMESTIC VIOLENCE,47,F,Other,Violent Crime,15,Yes,22-02-2022 11:00
98,05-01-2022 04:00,01-05-2022 01:00,05-01-2022 13:15,Indore,372,VEHICLE - STOLEN,38,M,Poison,Violent Crime,11,Yes,10-02-2022 04:00
99,07-01-2022 05:00,01-05-2022 02:00,05-01-2022 17:41,Agra,520,BURGLARY,43,M,Poison,Other Crime,10,Yes,08-05-2022 05:00
100,06-01-2022 02:00,01-05-2022 03:00,06-01-2022 00:56,Ghaziabad,258,ASSAULT,13,M,Knife,Violent Crime,18,Yes,27-01-2022 02:00
101,06-01-2022 08:00,01-05-2022 04:00,05-01-2022 12:20,Bangalore,576,DRUG OFFENSE,78,X,Knife,Other Crime,17,Yes,25-01-2022 08:00
102,05-01-2022 06:00,01-05-2022 05:00,05-01-2022 20:18,Kolkata,132,SEXUAL ASSAULT,31,F,Blunt Object,Violent Crime,5,Yes,17-12-2022 06:00
103,07-01-2022 16:00,01-05-2022 06:00,06-01-2022 00:32,Delhi,157,BURGLARY,28,X,None,Other Crime,10,No,
104,06-01-2022 00:00,01-05-2022 07:00,06-01-2022 05:23,Kanpur,166,VANDALISM,71,X,Other,Other Crime,6,Yes,15-02-2022 00:00
105,06-01-2022 22:00,01-05-2022 08:00,06-01-2022 05:05,Jaipur,489,SEXUAL ASSAULT,50,X,Firearm,Violent Crime,3,No,
106,06-01-2022 17:00,01-05-2022 09:00,06-01-2022 01:03,Patna,544,SHOPLIFTING,49,F,Knife,Other Crime,5,No,
107,07-01-2022 14:00,01-05-2022 10:00,05-01-2022 18:44,Chennai,196,TRAFFIC VIOLATION,25,M,Poison,Traffic Fatality,2,No,
108,06-01-2022 09:00,01-05-2022 11:00,05-01-2022 14:18,Hyderabad,247,PUBLIC INTOXICATION,66,X,None,Other Crime,17,Yes,09-01-2022 09:00
109,05-01-2022 21:00,01-05-2022 12:00,06-01-2022 04:01,Vasai,578,TRAFFIC VIOLATION,68,M,None,Traffic Fatality,1,No,
110,06-01-2022 13:00,01-05-2022 13:00,06-01-2022 12:42,Mumbai,457,FRAUD,61,X,Blunt Object,Other Crime,8,Yes,02-03-2022 13:00
111,06-01-2022 05:00,01-05-2022 14:00,06-01-2022 06:48,Agra,183,HOMICIDE,30,X,Blunt Object,Other Crime,17,Yes,01-11-2022 05:00
112,06-01-2022 09:00,01-05-2022 15:00,06-01-2022 08:33,Bangalore,266,DOMESTIC VIOLENCE,55,F,Blunt Object,Violent Crime,3,No,
113,06-01-2022 18:00,01-05-2022 16:00,06-01-2022 11:41,Srinagar,543,ASSAULT,12,X,Knife,Violent Crime,9,Yes,25-01-2022 18:00
114,07-01-2022 01:00,01-05-2022 17:00,05-01-2022 18:47,Chennai,408,COUNTERFEITING,45,M,Poison,Other Crime,9,Yes,17-03-2022 01:00
115,07-01-2022 17:00,01-05-2022 18:00,06-01-2022 17:50,Nagpur,118,KIDNAPPING,44,M,None,Other Crime,14,Yes,27-01-2022 17:00
116,08-01-2022 01:00,01-05-2022 19:00,06-01-2022 02:19,Lucknow,104,FRAUD,20,M,Blunt Object,Other Crime,1,Yes,04-03-2022 01:00
117,06-01-2022 14:00,01-05-2022 20:00,06-01-2022 18:57,Patna,414,ROBBERY,73,M,Blunt Object,Violent Crime,13,No,
118,06-01-2022 23:00,01-05-2022 21:00,06-01-2022 09:43,Pune,530,HOMICIDE,17,X,Knife,Other Crime,1,No,
119,06-01-2022 12:00,01-05-2022 22:00,06-01-2022 03:40,Delhi,359,FIREARM OFFENSE,71,M,Other,Fire Accident,1,Yes,26-03-2022 12:00
120,06-01-2022 18:00,01-05-2022 23:00,05-01-2022 23:50,Nagpur,316,VEHICLE - STOLEN,11,X,None,Violent Crime,4,No,
121,08-01-2022 23:00,01-06-2022 00:00,06-01-2022 14:35,Mumbai,528,ARSON,50,X,Explosives,Fire Accident,8,Yes,02-03-2022 23:00
122,08-01-2022 14:00,01-06-2022 01:00,06-01-2022 20:52,Nashik,162,BURGLARY,78,X,Knife,Other Crime,10,No,
123,06-01-2022 15:00,01-06-2022 02:00,06-01-2022 21:04,Mumbai,392,SHOPLIFTING,25,M,None,Other Crime,11,Yes,21-03-2022 15:00
124,07-01-2022 01:00,01-06-2022 03:00,06-01-2022 03:21,Bangalore,201,BURGLARY,10,F,None,Other Crime,9,No,
125,08-01-2022 05:00,01-06-2022 04:00,06-01-2022 08:09,Nagpur,512,IDENTITY THEFT,22,X,Other,Violent Crime,2,Yes,08-03-2022 05:00
126,08-01-2022 07:00,01-06-2022 05:00,06-01-2022 17:15,Mumbai,445,SEXUAL ASSAULT,19,X,None,Violent Crime,11,No,
127,07-01-2022 19:00,01-06-2022 06:00,06-01-2022 19:29,Pune,497,ILLEGAL POSSESSION,70,F,Blunt Object,Other Crime,4,No,
128,08-01-2022 06:00,01-06-2022 07:00,07-01-2022 04:44,Bhopal,295,DOMESTIC VIOLENCE,38,M,Other,Violent Crime,13,Yes,21-01-2022 06:00
129,08-01-2022 00:00,01-06-2022 08:00,06-01-2022 19:10,Pune,410,ILLEGAL POSSESSION,46,M,Blunt Object,Other Crime,18,Yes,22-02-2022 00:00
130,06-01-2022 14:00,01-06-2022 09:00,07-01-2022 00:14,Bangalore,499,COUNTERFEITING,70,M,Knife,Other Crime,1,Yes,21-02-2022 14:00
131,07-01-2022 19:00,01-06-2022 10:00,06-01-2022 16:18,Mumbai,168,HOMICIDE,51,M,Other,Other Crime,1,No,
132,08-01-2022 23:00,01-06-2022 11:00,07-01-2022 06:41,Hyderabad,239,COUNTERFEITING,65,M,Knife,Other Crime,9,Yes,10-02-2022 23:00
133,08-01-2022 05:00,01-06-2022 12:00,06-01-2022 17:49,Hyderabad,169,DRUG OFFENSE,31,F,None,Other Crime,8,Yes,03-02-2022 05:00
134,07-01-2022 23:00,01-06-2022 13:00,07-01-2022 06:05,Kanpur,490,VEHICLE - STOLEN,66,X,Other,Violent Crime,6,Yes,23-02-2022 23:00
135,06-01-2022 23:00,01-06-2022 14:00,07-01-2022 11:41,Surat,330,HOMICIDE,13,M,Firearm,Other Crime,5,Yes,19-09-2022 23:00
136,08-01-2022 22:00,01-06-2022 15:00,06-01-2022 16:42,Mumbai,555,KIDNAPPING,52,X,Other,Other Crime,14,No,
137,07-01-2022 21:00,01-06-2022 16:00,07-01-2022 10:17,Visakhapatnam,571,IDENTITY THEFT,47,M,Firearm,Violent Crime,12,Yes,20-02-2022 21:00
138,09-01-2022 02:00,01-06-2022 17:00,06-01-2022 17:58,Kanpur,361,FIREARM OFFENSE,20,X,Poison,Fire Accident,7,Yes,28-03-2022 02:00
139,08-01-2022 00:00,01-06-2022 18:00,07-01-2022 13:42,Thane,375,HOMICIDE,40,X,Knife,Other Crime,17,No,
140,09-01-2022 07:00,01-06-2022 19:00,06-01-2022 23:32,Faridabad,407,IDENTITY THEFT,49,F,None,Violent Crime,3,No,
141,08-01-2022 14:00,01-06-2022 20:00,07-01-2022 12:23,Delhi,203,SHOPLIFTING,28,X,Blunt Object,Other Crime,15,Yes,18-02-2022 14:00
142,08-01-2022 06:00,01-06-2022 21:00,07-01-2022 04:00,Chennai,450,DOMESTIC VIOLENCE,31,X,Poison,Violent Crime,10,Yes,06-04-2022 06:00
143,07-01-2022 08:00,01-06-2022 22:00,07-01-2022 02:41,Bangalore,551,PUBLIC INTOXICATION,56,X,Knife,Other Crime,3,Yes,24-01-2022 08:00
144,08-01-2022 03:00,01-06-2022 23:00,07-01-2022 19:14,Delhi,152,VANDALISM,45,M,None,Other Crime,14,Yes,31-03-2022 03:00
145,09-01-2022 13:00,01-07-2022 00:00,07-01-2022 07:18,Bangalore,163,VEHICLE - STOLEN,50,X,Knife,Violent Crime,6,Yes,12-03-2022 13:00
146,09-01-2022 20:00,01-07-2022 01:00,07-01-2022 14:06,Jaipur,156,CYBERCRIME,45,X,Other,Other Crime,4,No,
147,09-01-2022 11:00,01-07-2022 02:00,07-01-2022 07:49,Delhi,279,TRAFFIC VIOLATION,15,F,Firearm,Traffic Fatality,7,Yes,06-02-2022 11:00
148,09-01-2022 02:00,01-07-2022 03:00,07-01-2022 21:05,Delhi,180,FIREARM OFFENSE,20,X,Explosives,Fire Accident,11,Yes,06-02-2022 02:00
149,09-01-2022 15:00,01-07-2022 04:00,08-01-2022 02:17,Kanpur,383,DRUG OFFENSE,66,X,Poison,Other Crime,5,No,
150,08-01-2022 22:00,01-07-2022 05:00,07-01-2022 05:49,Kolkata,358,BURGLARY,24,X,Other,Other Crime,4,No,
151,09-01-2022 15:00,01-07-2022 06:00,07-01-2022 17:16,Ahmedabad,233,BURGLARY,44,F,None,Other Crime,2,No,
152,08-01-2022 14:00,01-07-2022 07:00,08-01-2022 00:20,Mumbai,262,SEXUAL ASSAULT,22,F,Other,Violent Crime,18,Yes,29-03-2023 14:00
153,07-01-2022 09:00,01-07-2022 08:00,08-01-2022 06:59,Ahmedabad,112,TRAFFIC VIOLATION,57,F,Blunt Object,Traffic Fatality,5,Yes,22-01-2022 09:00
154,09-01-2022 14:00,01-07-2022 09:00,07-01-2022 19:01,Pune,182,KIDNAPPING,26,X,None,Other Crime,7,No,
155,07-01-2022 19:00,01-07-2022 10:00,07-01-2022 23:05,Chennai,211,SEXUAL ASSAULT,61,X,Other,Violent Crime,14,Yes,28-12-2023 19:00
156,09-01-2022 21:00,01-07-2022 11:00,07-01-2022 19:35,Chennai,291,ROBBERY,12,M,None,Violent Crime,9,Yes,14-06-2022 21:00
157,10-01-2022 02:00,01-07-2022 12:00,07-01-2022 16:17,Nagpur,255,IDENTITY THEFT,28,M,Firearm,Violent Crime,7,No,
158,08-01-2022 15:00,01-07-2022 13:00,08-01-2022 09:07,Jaipur,399,TRAFFIC VIOLATION,50,X,Poison,Traffic Fatality,13,No,
159,09-01-2022 04:00,01-07-2022 14:00,08-01-2022 10:37,Visakhapatnam,332,VEHICLE - STOLEN,51,X,Other,Violent Crime,16,No,
160,08-01-2022 00:00,01-07-2022 15:00,08-01-2022 07:21,Pune,427,DRUG OFFENSE,66,F,None,Other Crime,17,No,
161,10-01-2022 15:00,01-07-2022 16:00,07-01-2022 17:13,Kolkata,309,HOMICIDE,70,X,Blunt Object,Other Crime,2,Yes,06-06-2023 15:00
162,08-01-2022 09:00,01-07-2022 17:00,08-01-2022 13:38,Pune,423,ROBBERY,19,X,None,Violent Crime,1,No,
163,10-01-2022 14:00,01-07-2022 18:00,08-01-2022 15:08,Mumbai,573,EXTORTION,67,X,Explosives,Other Crime,16,No,
164,08-01-2022 16:00,01-07-2022 19:00,07-01-2022 20:19,Jaipur,259,ARSON,75,X,Other,Fire Accident,7,No,
165,09-01-2022 20:00,01-07-2022 20:00,08-01-2022 04:56,Agra,180,SHOPLIFTING,46,F,Knife,Other Crime,9,No,
166,08-01-2022 19:00,01-07-2022 21:00,08-01-2022 06:22,Delhi,406,IDENTITY THEFT,31,F,Knife,Violent Crime,10,Yes,07-04-2022 19:00
167,09-01-2022 23:00,01-07-2022 22:00,08-01-2022 00:23,Jaipur,468,KIDNAPPING,29,X,Other,Other Crime,4,No,
168,09-01-2022 19:00,01-07-2022 23:00,08-01-2022 08:57,Chennai,206,DOMESTIC VIOLENCE,19,M,None,Violent Crime,4,No,
169,09-01-2022 06:00,01-08-2022 00:00,08-01-2022 06:44,Chennai,122,HOMICIDE,74,X,Knife,Other Crime,11,No,
170,08-01-2022 12:00,01-08-2022 01:00,08-01-2022 14:12,Hyderabad,349,COUNTERFEITING,20,M,Explosives,Other Crime,12,No,
171,08-01-2022 21:00,01-08-2022 02:00,08-01-2022 03:55,Chennai,271,VEHICLE - STOLEN,29,X,None,Violent Crime,1,No,
172,10-01-2022 00:00,01-08-2022 03:00,08-01-2022 03:03,Mumbai,149,ILLEGAL POSSESSION,24,F,Explosives,Other Crime,12,No,
173,09-01-2022 14:00,01-08-2022 04:00,09-01-2022 03:24,Lucknow,430,SHOPLIFTING,41,F,None,Other Crime,9,No,
174,10-01-2022 01:00,01-08-2022 05:00,09-01-2022 03:06,Visakhapatnam,209,TRAFFIC VIOLATION,44,M,Poison,Traffic Fatality,15,No,
